Date,Stock,Qty,UnitPrice,Amt,Type,Notes
2014-06-04,IDEA,250,136,,~100,
2014-06-04,HPCL,150,396.67,,X,
2014-06-04,CROM GREAVES,200,197,,,
2014-06-04,ONGC,50,461,,SOLD,
2014-06-04,VOLTAS,100,206,,SOLD,
2014-05-27,HINDAL,220,161,,SOLD,
2014-05-27,CROM GREAVES,100,211.6,,SOLD,
2014-05-27,TATA POW,100,107,,SOLD,
2014-05-19,HIND ZINC,150,165,,SOLD,
2014-05-19,ONGC,100,400,,P 50,
2014-05-19,TCS,20,2025.1,,,
2014-05-19,TATA POW,100,97.5,,SOLD,
2014-05-19,VOLTAS,100,203,,SOLD,
2014-05-19,HIND ZINC,100,143,,SOLD,
2014-05-19,ASHOK,550,29,,SOLD,
2014-05-16,ADANI POWER,600,57.13,,X,
2014-05-14,CAN BANK,50,335,,SOLD,
2014-05-13,VOLTAS,150,175,,SOLD,
2014-05-13,LIC,100,300,,SOLD,
2014-05-12,ASHOK,250,26,,SOLD,
2014-05-12,LIC,100,286,,SOLD,
2014-05-12,TATA MOTORS,50,444,,SOLD,
2014-05-09,TATA ST,100,416,,SOLD,
2014-05-09,TATA MOTORS,100,428,,SOLD,
2014-05-09,SBI,250,214.9,,SOLD,S1:10
2014-05-09,LIC,150,277,,SOLD,
2014-05-09,HPCL,100,364,,SOLD,
2014-05-07,HPCL,100,348,,SOLD,
2014-04-10,MARUTI,5,1960,,SOLD,
2014-04-10,ASHOK,400,25,,SOLD,
2014-04-10,ADANI POWER,250,58,,SOLD,
2014-04-02,SBI,,,"1,275.00",DIV,
2014-04-01,POWERG,100,108,,SOLD,
2014-04-01,ADANI POWER,250,48,,SOLD,
2014-03-19,POWERG,,,127,DIV,
2014-03-15,ALOK,,,7.03,DIV,
2014-03-10,M&M,15,1020,,SOLD,
2014-03-10,LIC,350,230,,SOLD,
2014-03-10,HPCL,150,290,,SOLD,
2014-03-10,HDFCBANK,30,732,,SOLD,
2014-02-20,BHEL,,,52,DIV,
2014-02-14,ALOK,,,750,DIV,
2014-02-14,CROM GREAVES,,,160,DIV,
2014-02-10,NTPC,,,1108,DIV,
2014-01-31,AND BANK,,,330,DIV,
2014-01-31,CAN BANK,,,325,DIV,
2014-01-29,IDEA,100,139.5,13950,X,
2014-01-29,TATA ST,100,365.95,36595,X,
2014-01-29,HIND ZINC,200,127,25400,X,
2013-12-20,HIND ZINC,50,135,6750,SOLD,
,ONGC,30,305,9150,SOLD,
2013-12-20,MARUTI,10,1810,18100,SOLD,
2013-12-12,TATA MOTORS,75,363,27225,X,
2013-12-10,L&T,25,1149.2,28730,SOLD,
2013-11-28,L&T,25,1025,25625,SOLD,
2013-11-28,L&T FIN,150,73.3,10995,,
2013-11-26,VOLTAS,250,95.78,23945,SOLD,
2013-11-25,CROM GREAVES,,,160,DIV,
2013-11-13,TATA MOTORS,75,377,28275,X,
2013-11-09,TATA ST,40,356,14240,SOLD,
2013-11-08,IDEA,150,162,24300,X,
2013-11-07,SBI,100,180.5,18050,,S1:10
2013-11-06,HUL,50,587.8,29390,,
2013-11-05,SBI,100,190,19000,SOLD,S1:10
2013-11-05,HIND ZINC,,,160,DIV,
2013-11-04,HPCL,100,220,22000,SOLD,
2013-11-03,CAN BANK,100,280,28000,SOLD,
2013-11-02,AND BANK,200,68.5,13700,SOLD,
2013-11-01,CAN BANK,50,260,13000,SOLD,
2013-10-09,POWERG,,,114,DIV,
2013-10-08,GAIL,,,560,DIV,
2013-10-07,HDFCBANK,20,686,13720,SOLD,
2013-10-06,MARUTI,10,1644,16440,SOLD,
2013-10-05,HIND ZINC,100,135,13500,SOLD,
2013-10-04,TATA ST,100,310,31000,SOLD,
2013-10-03,ONGC,,,15,DIV,
2013-10-03,BHEL,,,132,DIV,
2013-10-03,TECHM,,,50,DIV,
2013-10-03,L&T FIN,100,78.5,7850,SOLD,
2013-10-02,HIND ZINC,180,134.34,24181.2,SOLD,
2013-10-01,TECHM,10,1385.5,13855,SOLD,
2013-09-24,NTPC,,,554,DIV,
2013-09-23,HINDAL,,,588,DIV,
2013-09-22,HPCL,,,2125,DIV,
2013-09-21,TECHM,20,1330,26600,SOLD,
2013-09-20,GAIL,100,332.1,33210,SOLD,
2013-09-12,HPCL,200,185.5,37100,X,
2013-09-10,TATA MOTORS,10,344.2,3442,SOLD,
2013-09-03,MARUTI,,,200,DIV,
2013-08-28,HDFCBANK,50,569.825,28491.25,X,
2013-08-27,TCS,5,1870,9350,SOLD,
2013-08-24,TECHM,22,1325,29150,SOLD,
2013-08-24,L&T,,,369.9,DIV,
2013-08-16,CAN BANK,150,232.388,34858.2,X,
2013-08-16,L&T,5,0,,,4: 1 BONUS
2013-08-16,L&T,20,764.75,15295,X,
2013-08-16,LIC,150,170.5,25575,X,
2013-08-16,SBI,250,157.4,39350,,S1:10
2013-08-14,TATA MOTORS,20,315,6300,SOLD,
2013-08-14,TATA ST,100,251.9,25190,X,
2013-08-14,TATA ST,,,1680,DIV,
2013-08-14,TATA POW,,,345,DIV,
2013-08-14,VOLTAS,,,1200,DIV,
2013-08-14,TATA MOTORS,,,60,DIV,
2013-08-13,TCS,,,48,DIV,
2013-08-12,L&T FIN,,,412.5,DIV,
2013-08-12,L&T FIN,100,57.5,5750,,
2013-08-12,TATA ST,170,234.87,39927.9,SOLD,
2013-08-07,CROM GREAVES,,,160,DIV,
2013-08-05,BHEL,310,127,39370,SOLD,
2013-08-05,LIC,200,169.5,33900,X,
2013-08-01,M&M,15,872,13080,X,
2013-08-01,SBI,150,168,25200,X,S1:10
2013-07-31,LIC,,,1710,DIV,
2013-07-31,TCS,7,1825,12775,SOLD,
2013-07-29,AND BANK,,,2500,DIV,
2013-07-25,ASHOK,1000,14.4,14400,SOLD,
2013-07-25,GAIL,100,334,33400,SOLD,
2013-07-25,GVK POWER,130,7,910,SOLD,
2013-07-25,SUZLON,1230,7.75,9532.5,SOLD,
2013-07-25,MARUTI,25,1410,35250,X,
2013-07-23,CAN BANK,,,650,DIV,
2013-07-18,TATA MOTORS,30,283,8490,X,
2013-07-17,ASHOK,,,1620,DIV,
2013-07-16,L&T FIN,200,74.75,14950,,
2013-07-16,TCS,12,1650,19800,X,
2013-07-16,ALOK,1000,7.1,7100,SOLD,
2013-07-16,BALRAM,550,41.24,22682,SOLD,
2013-07-16,MTNL,170,17,2890,SOLD,
2013-07-16,SAIL,550,47.164,25940.2,SOLD,
2013-07-04,SBI,350,188.5,65975,X,S1:10
2013-06-27,ADANI POWER,500,39.35,19675,X,
2013-06-27,ASHOK,1000,19.9,19900,,
2013-06-27,CAN BANK,50,350,17500,X,
2013-06-25,HIND ZINC,,,570,DIV,
2013-06-17,GAIL,125,298,37250,X,
2013-06-17,HPCL,100,258.975,25897.5,X,
2013-06-27,HIND ZINC,,,570,DIV,
2013-06-17,SBI,,,415,DIV,
2013-05-24,L&T FIN,300,78.8,23640,~250,
2013-05-23,HPCL,150,285,42750,X,
2013-05-21,ADANI POWER,250,61.6,15400,SOLD,
2013-05-20,ADANI POWER,500,52.5,26250,SOLD,
2013-05-15,HDFCBANK,40,708.75,28350,SOLD,
2013-05-15,HUL,100,586.15,58615,SOLD,
2013-05-15,SBI,100,236.7,23670,SOLD,S1:10
2013-05-15,L&T FIN,50,83.5,4175,SOLD,
2013-05-14,HDFCBANK,10,706,7060,SOLD,
2013-05-07,TATA MOTORS,15,300,4500,SOLD,
2013-05-03,HUL,50,580,29000,SOLD,
2013-04-17,ONGC,20,336,6720,SOLD,
2013-04-17,SBI,150,225,33750,SOLD,S1:10
2013-04-05,TATA ST,50,307.3,15365,X,
2013-04-05,BALRAM,500,50.5,25250,,
2013-04-05,TECHM,37,942.55,34050,,SATYAM 300@113.5 => TECHM
2013-04-02,ONGC,,,200,DIV,
2013-03-20,GVK POWER,2000,10.15,20300,SOLD,
2013-03-20,LIC,150,223.8,33570,X,
2013-03-20,ADANI POWER,500,44.9,22450,X,
2013-03-12,SAIL,,,880,DIV,
2013-03-12,NTPC,,,664,DIV,
2013-03-11,HDFC,20,835,16700,SOLD,
2013-03-08,SATYAM,150,127.05,19057.5,SOLD,
2013-03-07,ADANI POWER,500,48.5,24250,X,
2013-03-07,GAIL,75,331,24825,X,
2013-03-04,POWERG,,,161,DIV,
2013-03-01,BHEL,100,200,20000,,
2013-03-01,LIC,100,235,23500,X,
2013-03-01,NTPC,100,148.85,14885,,
2013-03-01,SUZLON,1000,18.5,18500,,
2013-02-22,HUL,150,459,68850,X,
2013-02-18,LIC,200,248.95,49790,X,
2013-02-15,BHEL,,,212,DIV,
2013-02-05,BHEL,150,212.5,31875,,
2013-02-05,VOLTAS,250,96.5,24125,X,
2013-01-02,ONGC,,,250,DIV,
2013-01-10,TATA MOTORS,25,329,8225,SOLD,
2012-12-18,CROM GREAVES,200,115,23000,~100,
2012-12-18,LIC,15,283.15,4247.25,SOLD,
2012-12-07,L&T,10,1688,16880,SOLD,
2012-12-07,MARUTI,10,1530,15300,SOLD,
2012-11-20,CROM GREAVES,,,80,DIV,
2012-11-19,MARUTI,10,1502.65,15026.5,SOLD,
2012-11-15,HDFC,16,785,12560,SOLD,
2012-11-15,M&M,35,900,31500,SOLD,
2012-11-02,HIND ZINC,,,608,DIV,
2012-10-19,SAIL,,,300,DIV,
2012-10-12,L&T,5,1655,8275,SOLD,
2012-10-10,POWERG,,,131,DIV,
2012-10-10,ALOK,1750,12.67,22172.5,~750,
2012-10-05,ONGC,,,100,DIV,
2012-10-03,BHEL,,,368,DIV,
2012-09-25,NTPC,,,89,DIV,
2012-09-25,LIC,10,282,2820,SOLD,
2012-09-25,SAIL,175,90,15750,,
2012-09-15,ALOK,,,525,DIV,
2012-09-14,HINDAL,,,651,DIV,
2012-09-10,SATYAM,150,106,15900,SOLD,
2012-09-04,MARUTI,,,150,DIV,
2012-08-28,L&T,,,577.5,DIV,
2012-08-12,BALRAM,33,68,2244,SOLD,
2012-08-25,VOLTAS,,,800,DIV,
2012-08-21,TATA POW,,,375,DIV,
2012-08-17,TATA ST,,,1920,DIV,
2012-08-14,TATA MOTORS,,,160,DIV,
2012-08-09,M&M,,,438,DIV,
2012-08-08,CROM GREAVES,,,80,DIV,
2012-08-01,AND BANK,200,99.85,19970,,
2012-08-01,POWERG,30,119.045,3571.35,,
2012-07-31,LIC,,,90,DIV,
2012-07-26,ASHOK,900,22.5,20250,,
2012-07-26,HINDAL,100,114,11400,,
2012-07-25,ASHOK,,,800,DIV,
2012-07-16,HIND ZINC,,,342,DIV,
2012-07-13,HDFCBANK,,,215,DIV,
2012-07-12,HDFC,,,396,DIV,
2012-07-11,AND BANK,,,1650,DIV,
