Date,Stock,Qty,UnitPrice,Type,Brokerage,Notes,Amount
2014-09-25,TATA MOTORS,100,513.6,,,,
2014-09-25,VOLTAS,150,226,,,,
2014-09-29,ALOK,1000,12.35,SOLD,,,
2014-10-17,ALOK,1500,11.4,,,,
2014-10-17,CENTURY,60,505.93,,,,
2014-10-17,TATA MOTORS,30,479.35,,,,
2014-10-17,TCS,25,2479.5,,,,
2014-10-20,HPCL,100,525,SOLD,,,
2014-10-22,HUL,15,755,SOLD,,,
2014-10-22,LIC,100,339,SOLD,,,
2014-10-29,EICHER,2,12450,SOLD,,,
2014-10-29,SBI,200,262.5,SOLD,,,
2014-10-30,ONGC,50,395.3,,,,
2014-11-19,EICHER,2,14580,SOLD,,,
2014-11-24,ALOK,2500,11.15,,,,
2014-11-24,HPCL,50,527.9,,,,
2014-11-27,HUL,10,785,SOLD,,,
2014-11-28,BHEL,40,284,SOLD,,,
2014-11-28,HPCL,50,600,SOLD,,,
2014-11-28,SBI,100,321,SOLD,,,
2014-12-10,CENTURY,90,512,,,,
2014-12-10,EICHER,5,14297,,,,
2014-12-10,ONGC,140,352.2,,,,
2014-12-16,HIND ZINC,100,158.1,,,,
2014-12-16,HPCL,100,550,,,,
2014-12-16,TATA POW,291,79.95,,,,
2014-12-26,CAN BANK,100,445,SOLD,,,
2015-01-03,HIND ZINC,200,154.8,,,,
2015-01-03,LIC,100,460,SOLD,,,
2015-01-03,TATA MOTORS,30,532.05,SOLD,,,
2015-01-20,TATA MOTORS,40,545,SOLD,,,
2015-01-21,ALOK,2500,10.2,,,,
2015-01-23,ADANI POWER,250,50.7,SOLD,,,
2015-01-23,IDEA,100,168.5,SOLD,,,
2015-01-28,EICHER,3,16250,SOLD,,,
2015-01-28,HPCL,50,660,SOLD,,,
2015-02-24,EICHER,3,15800,,,,
2015-02-24,ONGC,100,317.4,,,,
2015-02-24,ADANI POWER,500,56.75,SOLD,,,
2015-03-02,L&T,20,1845,SOLD,,,
2015-03-02,VOLTAS,50,275,SOLD,,,
2015-03-09,TATA ST,50,340,SOLD,,,
2015-03-17,ALOK,6500,8.12,SOLD,,,
2015-03-27,ADANI POWER,500,46.3,,,,
2015-03-27,HUL,100,864.2,,,,
2015-03-30,CENTURY,25,633,SOLD,,,
2015-04-07,CENTURY,100,725,SOLD,,,
2015-04-07,IDEA,100,195.05,SOLD,,,
2015-04-22,EICHER,6,14625,,,,
2015-04-22,HDFCBANK,100,1010.32,,,,
2015-05-05,HDFCBANK,75,962.85,,,,
2015-05-05,HPCL,100,579,,,,
2015-05-05,LIC,200,414.265,,,,
2015-05-05,HIND ZINC,100,182.65,SOLD,,,
2015-05-08,CAN BANK,160,360,,,,
2015-06-01,HPCL,50,695.2,SOLD,,,
2015-06-02,EXIDE,350,150,,,,
2015-06-02,HUL,50,855.15,,,,
2015-06-19,EICHER,3,19940,SOLD,,,
2015-06-19,HPCL,50,730.25,SOLD,,,
2015-07-09,HIND ZINC,200,159.6,,,,
2015-07-09,TATA ST,250,284.35,,,,
2015-07-10,ADANI POWER,1000,28.4,,,,
2015-07-10,HDFCBANK,75,1089.4,SOLD,,,
2015-07-15,HPCL,50,903.2,SOLD,,,
2015-07-27,CAN BANK,250,268.3,,,,
2015-07-27,CENTURY,100,691,,,,
2015-08-03,CAN BANK,100,292,SOLD,,,
2015-08-03,LIC,50,511,SOLD,,,
2015-08-07,HIND ZINC,350,155,,,,
2015-08-07,HPCL,50,975,SOLD,,,
2015-08-10,HIND ZINC,300,155,,,,
2015-08-12,HPCL,50,883,,,,
2015-08-12,HUL,50,870,,,,
2015-08-28,CENTURY,100,538,,,,
2015-08-28,EICHER,3,18500,,,,
2015-08-28,HPCL,100,796.74,,,,
2015-08-28,ADANI POWER,500,21.5,SOLD,,,
2015-08-28,ALOK,1500,5.85,SOLD,,,
2015-09-24,ONGC,150,229.35,,,,
2015-10-21,TATA MOTORS,50,360,,,,
2015-11-10,EICHER,1,16020,,,,
2015-11-10,HPCL,50,748.25,,,,
2015-12-16,VOLTAS,100,304,SOLD,,,
2015-12-21,ADANI POWER,750,30.65,SOLD,,,
2016-01-13,L&T,15,1191.55,,,,
2016-01-13,SBI,100,204.8,,,,
2016-01-25,COAL IND,170,293.1,,,,
2016-01-25,HDFC,40,1131.15,,,,
2016-01-25,HPCL,35,794.5,,,,
2016-01-25,MARUTI,13,3930,,,,
2016-01-25,ADANI POWER,1350,26.55,SOLD,,,
2016-01-25,AND BANK,300,50.85,SOLD,,,
2016-01-25,CAN BANK,250,175.5,SOLD,,,
2016-01-25,CENTURY,100,506.25,SOLD,,,
2016-01-25,L&T FIN,600,56.6,SOLD,,,
2016-01-25,TATA POW,681,61.05,SOLD,,,
2016-03-01,BLUE STAR,100,320,,,,
2016-03-01,CENTURY,100,435.9,,,,
2016-03-01,LIC,50,439.25,,,,
2016-03-01,VOLTAS,100,232.9,,,,
2016-03-16,CROMPTON ELEC,500,0,,,,
2016-04-04,EXIDE,350,138,,,,
2016-04-04,HIND ZINC,550,174,SOLD,,,
2016-04-04,TATA ST,150,322,SOLD,,,
2016-04-27,BLUE STAR,42,434.6,SOLD,,,
2016-04-27,TATA ST,50,357,SOLD,,,
2016-04-27,VOLTAS,50,302,SOLD,,,
2016-05-04,LIC,150,454.7,,,,
2016-05-11,VOLTAS,50,318,SOLD,,,
2016-05-31,SBI,100,205.1,SOLD,,,
2016-06-01,TCS,15,2640,SOLD,,,
2016-06-03,COAL IND,100,310,SOLD,,,
2016-06-03,HPCL,135,926,SOLD,,,
2016-06-24,EXIDE,200,166,SOLD,,,
2016-06-29,CENTURY,65,640,SOLD,,,
2016-06-29,LIC,100,488.5,SOLD,,,
2016-09-01,CENTURY,100,732.25,SOLD,,,
2016-09-01,LIC,50,573,SOLD,,,
2016-09-19,HPCL,200,0,,,,
2016-09-21,EICHER,5,23997.95,SOLD,,,
2016-09-29,CENTURY,50,962.87,SOLD,,,
2016-10-03,HIND ZINC,200,242,SOLD,,,
2016-10-20,L&T FIN,100,101.75,SOLD,,,
2016-10-24,ONGC,100,292.55,SOLD,,,
2016-11-01,CENTURY,40,1035,SOLD,,,
2016-11-01,HIND ZINC,150,274.3,SOLD,,,
